,result
890,6121.9590837476435
891,6127.785634585338
892,6069.667767628202
893,5980.931331200783
894,6008.813375810058
895,5962.165435644553
896,6076.823628197193
897,5974.298486915951
898,6007.001747108474
899,5892.062969711442
900,5998.807163206686
901,5990.393625223803
902,6048.714465970695
903,6079.170797320795
904,6009.992200351121
905,5899.8303811297565
906,6076.216410090845
907,6034.3409588717095
908,6005.2293222475955
909,6030.785170209406
910,5923.8116705718
911,6022.123296026525
912,6106.491354249898
913,6071.960613895383
914,5987.446775991428
915,6139.331899823748
916,6014.654374856597
917,6053.8984689027575
918,6064.982943387772
919,6044.408588378238
920,6066.701534177501
921,6024.399028362526
922,6103.462765437398
923,5999.597734124553
924,5998.587689676678
925,6045.559265177737
926,5941.180191064455
927,6019.131590060922
928,6151.810033745018
929,6089.07893306912
930,6090.784742854863
931,5972.00022115446
932,6014.948288184702
933,6057.621399102937
934,6067.672532015624
935,6015.015577826619
936,6052.326763345606
937,5984.0857884203615
938,6161.63681560356
939,6121.982609463219
940,5920.339998598014
941,6126.254052318499
942,5999.145889082374
943,6129.916415589132
944,6116.795688635553
945,6088.985712726455
946,6163.372584072961
947,5938.840473642147
948,5986.7412877979905
949,6072.091039030291
950,6022.9179702959855
951,6010.064007750209
952,6024.856213591682
953,6021.83120167748
954,5994.985007758466
955,6103.980752726801
956,6009.3611262960685
957,6056.85149524995
958,5879.502783072744
959,6002.714684721329
960,6173.673170527171
961,6074.478405556972
962,6102.313480098861
963,6224.647873422568
964,6031.812306762746
965,6028.722749906269
966,6049.6699663539
967,6085.218841876117
968,5998.358852879365
969,5994.710326508353
970,6011.782219504404
971,6053.047170336423
972,6052.283993610186
973,6246.575052856585
974,6069.2467696204085
975,6126.697281681613
976,6014.562696907129
977,6062.768662632354
978,5961.833873638055
979,5938.404780315464
980,5987.49214017695
981,6207.110785675335
982,5981.301706397833
983,5999.653510402451
984,6109.531247603969
985,6093.968194064993
986,6113.152488842588
987,6062.206673279916
988,5950.939964449565
989,6043.230248687165
990,6044.546543193851
991,5975.524541530624
992,6008.75002046545
993,5871.58488624355
994,6083.39935778707
995,6095.7931437354055
996,6040.3703953335735
997,5985.810692233799
998,6030.033740600351
999,6001.843236594743
